id,texto,rotulo
138,O garçom foi super atencioso e nos deu ótimas sugestões.,atendimento
139,"Porção generosa e sabor incrível, melhor feijoada da cidade.",comida
140,"Recepção nota dez, fomos muito bem recebidos desde a porta.",atendimento
141,"Comida sem sal e muito oleosa, não consegui terminar o prato.",comida
142,"O risoto estava perfeito, tempero na medida e ingredientes fresquinhos.",comida
143,"Sobremesa maravilhosa, o petit gateau derrete na boca.",comida
144,O atendente errou nosso pedido duas vezes e nem pediu desculpas.,atendimento
145,"Entrega em vinte minutos, aplicativo fácil de usar e rastrear.",entrega
146,"Recepção nota dez, fomos muito bem recebidos desde a porta.",atendimento
147,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
148,"A pizza veio queimada e sem recheio, massa crua no meio.",comida
149,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
150,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
151,O delivery chegou rápido e a embalagem manteve tudo quentinho.,entrega
152,"Comida sem sal e muito oleosa, não consegui terminar o prato.",comida
153,"Recepção nota dez, fomos muito bem recebidos desde a porta.",atendimento
154,"Prato chegou frio e a carne estava dura, comida bem decepcionante.",comida
155,"O risoto estava perfeito, tempero na medida e ingredientes fresquinhos.",comida
156,"Porção generosa e sabor incrível, melhor feijoada da cidade.",comida
157,"A pizza veio queimada e sem recheio, massa crua no meio.",comida
158,O rastreamento não funcionava e o pedido chegou frio na entrega.,entrega
159,O delivery chegou rápido e a embalagem manteve tudo quentinho.,entrega
160,"Comida sem sal e muito oleosa, não consegui terminar o prato.",comida
161,"A pizza veio queimada e sem recheio, massa crua no meio.",comida
162,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
163,Pedido demorou duas horas para chegar e ainda veio trocado.,entrega
164,"Prato chegou frio e a carne estava dura, comida bem decepcionante.",comida
165,"Entregador educado e pontual, chegou antes do horário previsto.",entrega
166,"Comida sem sal e muito oleosa, não consegui terminar o prato.",comida
167,"Entregador educado e pontual, chegou antes do horário previsto.",entrega
168,"Entrega em vinte minutos, aplicativo fácil de usar e rastrear.",entrega
169,"Entregador educado e pontual, chegou antes do horário previsto.",entrega
170,"Sobremesa maravilhosa, o petit gateau derrete na boca.",comida
171,"Comida sem sal e muito oleosa, não consegui terminar o prato.",comida
172,Pedido demorou duas horas para chegar e ainda veio trocado.,entrega
173,"Equipe simpática, o gerente veio à mesa perguntar se estava tudo bem.",atendimento
174,O garçom foi super atencioso e nos deu ótimas sugestões.,atendimento
175,"Entrega em vinte minutos, aplicativo fácil de usar e rastrear.",entrega
176,Pedido demorou duas horas para chegar e ainda veio trocado.,entrega
177,O rastreamento não funcionava e o pedido chegou frio na entrega.,entrega
178,"Recepção nota dez, fomos muito bem recebidos desde a porta.",atendimento
179,O garçom foi super atencioso e nos deu ótimas sugestões.,atendimento
180,O atendente errou nosso pedido duas vezes e nem pediu desculpas.,atendimento
181,A embalagem veio amassada e o suco vazou na sacola inteira.,entrega
182,"Entregador educado e pontual, chegou antes do horário previsto.",entrega
183,A embalagem veio amassada e o suco vazou na sacola inteira.,entrega
184,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
185,Esperei vinte minutos e nenhum garçom veio anotar o pedido.,atendimento
186,"Porção generosa e sabor incrível, melhor feijoada da cidade.",comida
187,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
188,"Sobremesa maravilhosa, o petit gateau derrete na boca.",comida
189,Pedido demorou duas horas para chegar e ainda veio trocado.,entrega
190,O garçom foi super atencioso e nos deu ótimas sugestões.,atendimento
191,A embalagem veio amassada e o suco vazou na sacola inteira.,entrega
192,"Recepção nota dez, fomos muito bem recebidos desde a porta.",atendimento
193,Pedido demorou duas horas para chegar e ainda veio trocado.,entrega
194,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
195,"Fui tratado com grosseria pela equipe, atendimento horrível.",atendimento
196,O atendente errou nosso pedido duas vezes e nem pediu desculpas.,atendimento
197,"A pizza veio queimada e sem recheio, massa crua no meio.",comida
198,O garçom foi super atencioso e nos deu ótimas sugestões.,atendimento
199,O rastreamento não funcionava e o pedido chegou frio na entrega.,entrega
200,"O risoto estava perfeito, tempero na medida e ingredientes fresquinhos.",comida
